rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,4.224316994349162,11.215532544,1.5576941967010498,4.747860980375087
16,32,3686400,4.400962901115418,10.614555648,1.5160834789276123,4.554353000077306
64,128,14745600,4.2589471737543745,11.998028288,1.4768110513687134,4.378959115873907
